"conlang","english","etymology_in_conlang"
"אוֹזְ׳אַוַאשְׁקוֹ","blue, green","אַלְגוֹנְקְוִינִי. צֶבַע הַשָּׁמַיִם וְהַיַּעַר—מִלָּה אַחַת לִשְׁנֵיהֶם, כְּמוֹ בְּהַרְבֵּה שְׂפָתוֹת."
"מַקַאטֵאוָאנְדֵא","brown","אַלְגוֹנְקְוִינִי. צֶבַע אֲדָמָה, צֶבַע קְלִפָּה."
"מִיסְקוֹמַקַאטֵא","purple","אַלְגוֹנְקְוִינִי, פֵּירוּשׁוֹ 'אָדֹם-שָׁחֹר'—הַמִּזּוּג שֶׁעוֹשֶׂה סָגֹל."
"מַחְשֵׁב","computer","עִבְרִית, מֵהַשֹּׁרֶשׁ ח-ש-ב (לַחְשֹׁב). מְכוֹנוֹת חֲשִׁיבָה מֻפְשָׁטוֹת מְקַבְּלוֹת שֵׁמוֹת עִבְרִיִּים."
"רֶשֶׁת","internet","עִבְרִית (רֶשֶׁת). מַבְנֶה קִשּׁוּר מֻפְשָׁט—עִבְרִית."
"אֲתָר־רֶשֶׁת","website","צֵרוּף עִבְרִי: מָקוֹם + רֶשֶׁת. מִקּוֹם מֻפְשָׁט בְּרֶשֶׁת מֻפְשֶׁטֶת."
"דֹּאַר־אֵלֶקְטְרוֹנִי","email","צֵרוּף עִבְרִי: דֹּאַר + אֵלֶקְטְרוֹנִי. טֶכְנוֹלוֹגְיַת תִּקְשֹׁרֶת מִתְאִימָה לְתַבְנִיוֹת עִבְרִיּוֹת."
"לְהַקְלִיד","to type, to click","מָקוֹר עִבְרִי. פֹּעֲלֵי פְּעֻלָּה דִּיגִיטָלִית בְּעִבְרִית—הֵם הַפְשָׁטוֹת שֶׁל פְּעֻלּוֹת פִיזִיּוֹת."
"מָסָךְ","screen","עִבְרִית. הַמַּחְסוֹם/הַכִּסּוּי שֶׁמַּרְאֶה תְּמוּנוֹת."
"מְכוֹנִית","car","עִבְרִית. מְכוֹנָה-לִנְסִיעָה, מֵהַשֹּׁרֶשׁ כ-ו-נ."
"אוֹטוֹבּוּס","bus","מִלַּת הַשְׁאָלָה בֵּינְלְאֻמִּית. טֶרְמִינוֹלוֹגְיַת תַּחְבּוּרָה צִבּוּרִית נִשְׁאֶרֶת בֵּינְלְאֻמִּית."
"רַכֶּבֶת","train","עִבְרִית. מֵר-כ-ב, לִרְכֹּב/לַעֲלוֹת—דָּבָר שֶׁרוֹכְבִים עָלָיו."
"מָטוֹס","airplane","עִבְרִית. מֵט-ו-ס, לָטוּס—דָּבָר שֶׁעָף."
"אוֹפַנַּיִם","bicycle","עִבְרִית, צוּרַת זוּג: 'שְׁנֵי גַּלְגַּלִּים.' עִבְרִית אוֹהֶבֶת צֵרוּפִים תֵּאוּרִיִּים."
"ג׳ימָאן","boat, canoe","אַלְגוֹנְקְוִינִי. כְּלֵי שַׁיִט מֵאוֹצַר הַמִּלִּים שֶׁל הָאָרֶץ—אֵלֶּה הָיוּ כָּאן רִאשׁוֹנִים."
"כְּבִישׁ","road, highway","עִבְרִית. כְּבִישׁ סָלוּל כְּמֻשָּׂג, שׁוֹנֶה מִשְּׁבִיל (תְּמָקָאן)."
"בֵּית־חוֹלִים","hospital","עִבְרִית: בֵּית שֶׁל חוֹלִים. מוֹסְדוֹת רְפוּאִיִּים בְּעִבְרִית."
"רוֹפֵא","doctor","עִבְרִית. מְרַפֵּא—תַּפְקִיד מֻפְשָׁט."
"רְפוּאָה","medicine (modern)","עִבְרִית. רִפּוּי כְּמֻשָּׂג מֻפְשָׁט. הַשְׁוֵה לְאַלְגוֹנְקְוִינִי מַאשְׁקִיקִי לִרְפוּאָה מָסָרְתִּית."
"מַאשְׁקִיקִי","traditional medicine","אַלְגוֹנְקְוִינִי. רְפוּאָה מֵהָאָרֶץ, צְמָחִים, טֶקֶס."
"בֵּית־סֵפֶר","school","עִבְרִית: בֵּית שֶׁל סֵפֶר. מוֹסְדוֹת חִנּוּךְ בְּעִבְרִית."
"מוֹרֶה / מוֹרָה","teacher","עִבְרִית. מִי שֶׁמַּרְאֶה, מְלַמֵּד—תַּפְקִיד מֻפְשָׁט."
"תַּלְמִיד / תַּלְמִידָה","student","עִבְרִית. מִי שֶׁלּוֹמֵד—מֵל-מ-ד."
"סֵפֶר","book","עִבְרִית. יְדִיעָה כְּתוּבָה הִיא טֶרִיטוֹרְיָה עִבְרִית."
"לִקְרֹא","to read","מָקוֹר עִבְרִי. קְרִיאָה—מְיֻמָּנוּת מֻפְשֶׁטֶת—הִיא עִבְרִית."
"לִכְתֹּב","to write","מָקוֹר עִבְרִי. כְּתִיבָה—מְיֻמָּנוּת מֻפְשֶׁטֶת—הִיא עִבְרִית."
"לִלְמֹד","to learn","מָקוֹר עִבְרִי. לְמִידָה—תַּהֲלִיךְ מֻפְשָׁט—הִיא עִבְרִית."
"מֶמְשָׁלָה","government","עִבְרִית. מִבְנִים פּוֹלִיטִיִּים מֻפְשָׁטִים בְּעִבְרִית."
"חֹק","law","עִבְרִית. הַפְשָׁטָה מִשְׁפָּטִית."
"שׁוֹפֵט","judge","עִבְרִית. תַּפְקִיד מִשְׁפָּטִי."
"צֶדֶק","justice","עִבְרִית. אֶחָד מֵהַשֵּׁמוֹת הַמֻּפְשָׁטִים הַגְּדוֹלִים—צְדָקָה, מִשְׁפָּט, מָה שֶׁנָּכוֹן."
"אֱמֶת","truth","עִבְרִית. עוֹד הַפְשָׁטָה גְּדוֹלָה. לֹא יְכוֹלָה לָבוֹא מִמָּקוֹם אַחֵר."
"חָכְמָה","wisdom","עִבְרִית. מָסֹרֶת הַחָכְמָה, שִׂכְלִית וְרוּחָנִית."
"אַהֲבָה","love","עִבְרִית. הָרֶגֶשׁ בְּעָמְקוֹ—עִבְרִית נוֹשֵׂאת אוֹתוֹ."
"זָאגִידִין","to love (tenderly)","אַלְגוֹנְקְוִינִי. חִבָּה פִיזִית, מַגָּע עָדִין—אַלְגוֹנְקְוִינִי יְכוֹלָה לְבַטֵּא זֶה אַחֶרֶת."
"יִרְאָה","fear, awe","עִבְרִית. יִרְאָה-וָפַחַד מְשֻׁלָּבִים, הָרֶגֶשׁ הַדָּתִי."
"כַּעַס","anger","עִבְרִית. הַפְשָׁטָה רִגְשִׁית."
"שִׂמְחָה","joy","עִבְרִית. הַשִּׂמְחָה הָעֲמֻקָּה שֶׁל חֲגִיגָה."
"צַעַר","sorrow, grief","עִבְרִית. צַעַר עָמֹק, סֵבֶל."
"מָה","what?","עִבְרִית. מִלּוֹת שְׁאֵלָה מֵעִבְרִית."
"מִי","who?","עִבְרִית. שׁוֹאֲלִים עַל אֲנָשִׁים."
"אֵיפֹה / אָאנְדִי","where?","עִבְרִית אֵיפֹה לְמָקוֹם מֻפְשָׁט; אַלְגוֹנְקְוִינִי אָאנְדִי לְ'אֵיפֹה עַל הָאָרֶץ.'"
"מָתַי / אָאנִין אַפִּי","when?","עִבְרִית מָתַי לִזְמַן מֻפְשָׁט/מְתֻכְנָן; אַלְגוֹנְקְוִינִי אָאנִין אַפִּי לְ'מָתַי בַּיּוֹם/בָּעוֹנָה.'"
"לָמָּה / מַדּוּעַ","why?","עִבְרִית. שׁוֹאֲלִים סִבּוֹת—חֲקִירָה מֻפְשֶׁטֶת."
"אֵיךְ / אָאנִין","how?","עִבְרִית אֵיךְ לְ'בְּאֵיזֶה אֹפֶן' מֻפְשָׁט; אַלְגוֹנְקְוִינִי אָאנִין לְ'אֵיךְ עוֹשִׂים אֶת הַדָּבָר הַפִיזִי הַזֶּה.'"
"כַּמָּה / אָאנִין מִינִיק","how many?","עִבְרִית כַּמָּה לְכַמּוּת מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי אָאנִין מִינִיק לִסְפִירַת דְּבָרִים פִיזִיִּים."
"זֶה / יוֹ","this (proximate)","עִבְרִית זֶה לְהַצְבָּעָה כְּלָלִית; יוֹ לְמַעֲקָב שִׂיחָה נָרָטִיבִית (מִשְׁתַּתֵּף קָרוֹב)."
"הוּא / יוֹוָא","that (obviative)","עִבְרִית הוּא לְהַפְנָיָה כְּלָלִית; יוֹוָא לְמַעֲקָב שִׂיחָה נָרָטִיבִית (מִשְׁתַּתֵּף אוֹבְיָאטִיבִי)."
"אֵלֶּה","these","עִבְרִית. הֶצְבֵּעַ רִבּוּי."
"הֵם / הֵן","those","עִבְרִית. הַפְנָיָה רְחוֹקָה רִבּוּי."
"אֲנִי / נִין","I","עִבְרִית אֲנִי בְּמַצָּב עַצְמָאִי; אַלְגוֹנְקְוִינִי נִין כְּשֶׁמַּדְגִּישִׁים 'אֲנִי בְּעַצְמִי.'"
"אַתָּה / אַתְּ / קִין","you (singular)","עִבְרִית אַתָּה/אַתְּ בְּמַצָּב עַצְמָאִי; אַלְגוֹנְקְוִינִי קִין כְּשֶׁמַּדְגִּישִׁים 'אַתָּה בְּעַצְמְךָ.'"
"הוּא / הִיא / וִין","he/she/it","עִבְרִית הוּא/הִיא בְּמַצָּב עַצְמָאִי; אַלְגוֹנְקְוִינִי וִין כְּשֶׁמַּדְגִּישִׁים 'הוּא/הִיא בְּעַצְמוֹ/ה.'"
"אֲנַחְנוּ / נִינַאוִינְד","we","עִבְרִית אֲנַחְנוּ בְּמַצָּב עַצְמָאִי; אַלְגוֹנְקְוִינִי נִינַאוִינְד לְ'אֲנַחְנוּ (לְלֹא אַתֶּם)' מֻדְגָּשׁ."
"גִּידִינַאוִינְד","we (inclusive)","אַלְגוֹנְקְוִינִי, פֵּירוּשׁוֹ 'אֲנַחְנוּ כּוֹלֵל אוֹתְךָ.' אַלְגוֹנְקְוִינִי מַבְדִּילָה בֵּין 'אֲנַחְנוּ' מְכַלֵּל לְ'אֲנַחְנוּ' מוֹצִיא."
"אַתֶּם / אַתֶּן / קִינַאוָא","you (plural)","עִבְרִית אַתֶּם/אַתֶּן; אַלְגוֹנְקְוִינִי קִינַאוָא לְהַדְגָּשָׁה."
"הֵם / הֵן / וִינַאוָא","they","עִבְרִית הֵם/הֵן; אַלְגוֹנְקְוִינִי וִינַאוָא לְהַדְגָּשָׁה."
"שֶׁלִּי / נְ־...־אִם","my, mine","עִבְרִית שֶׁלִּי לְ'שֶׁלִּי' עַצְמָאִי; קַדְמָא אַלְגוֹנְקְוִינִי נְ־ עַל שֵׁמוֹת קְנוּיִים."
"שֶׁלְּךָ / קְ־...־אִם","your, yours","עִבְרִית שֶׁלְּךָ; קַדְמָא אַלְגוֹנְקְוִינִי קְ־ עַל שֵׁמוֹת קְנוּיִים."
"שֶׁלּוֹ / שֶׁלָּהּ / וְ־...־אִם","his/her/its","עִבְרִית שֶׁלּוֹ/שֶׁלָּהּ; קַדְמָא אַלְגוֹנְקְוִינִי וְ־ עַל שֵׁמוֹת קְנוּיִים."
"חַשְׁמַל","electricity","עִבְרִית. מֻשָּׂג טֶכְנוֹלוֹגִי מוֹדֶרְנִי, שֹׁרֶשׁ עִבְרִי מֵחֲזוֹן יְחֶזְקֵאל."
"סוֹלְלָה","battery","עִבְרִית. מְכָשִׁיר אֶחְסוֹן כֹּחַ."
"מְכוֹנָה","machine","עִבְרִית. מְכָשִׁיר מֵכָנִי כְּלָלִי."
"לְתַקֵּן","to fix, repair","עִבְרִית. תִּקּוּן כְּמֻשָּׂג (גַּם תִּקּוּן—תִּקּוּן רוּחָנִי)."
"לִשְׁבֹּר","to break","עִבְרִית. שְׁבִירָה כְּאֵרוּעַ מֻפְשָׁט."
"כֶּסֶף","money","עִבְרִית (גַּם 'כֶּסֶף' הַמַּתֶּכֶת). אֶמְצָעִי חִלּוּפִין מֻפְשָׁט."
"לִקְנוֹת","to buy","עִבְרִית. עִסְקָה מִסְחָרִית."
"לִמְכֹּר","to sell","עִבְרִית. עִסְקָה מִסְחָרִית."
"חֲנוּת","store, shop","עִבְרִית. מָקוֹם מִסְחָרִי."
"מִיסְטִיגְוָאן","head","אַלְגוֹנְקְוִינִי. חֵלֶק גּוּף—פִיזִי, מוּחָשׁ."
"מִישְׁקִינְזְ׳יג","eye","אַלְגוֹנְקְוִינִי. אֵיבָר תְּפִיסָה."
"טַאוַאגַא","ear","אַלְגוֹנְקְוִינִי. אֵיבָר שְׁמִיעָה."
"טוֹן","mouth","אַלְגוֹנְקְוִינִי. אֵיבָר דִּבּוּר וַאֲכִילָה."
"ג׳אַאנְזְ׳","nose","אַלְגוֹנְקְוִינִי. אֵיבָר רֵיחָ."
"טֵא","heart (physical)","אַלְגוֹנְקְוִינִי. הָאֵיבָר הַפּוֹעֵם בֶּחָזֶה."
"לֵב","heart (spiritual)","עִבְרִית. מוֹשַׁב הָרֶגֶשׁ וְהָרָצוֹן—מֻפְשָׁט."
"מִיסְקְוִי","blood","אַלְגוֹנְקְוִינִי. נוֹזֵל-חַיִּים, פִיזִי."
"אוֹקַאן","bone","אַלְגוֹנְקְוִינִי. מִבְנֶה פִיזִי."
"וִינִיזִיס","skin","אַלְגוֹנְקְוִינִי. כִּסּוּי חִיצוֹנִי."
"וִינִיסִיס","hair","אַלְגוֹנְקְוִינִי. כִּסּוּי רֹאשׁ."
"נֶשָׁמָה / נְפֶשׁ","soul, spirit","עִבְרִית. הַמַּהוּת הָרוּחָנִית הַפְּנִימִית—מֻפְשֶׁטֶת."
"חַיִּים","life","עִבְרִית. הַמֻּשָּׂג הַמֻּפְשָׁט שֶׁל לִחְיוֹת."
"מָוֶת","death","עִבְרִית. הַמֻּשָּׂג הַמֻּפְשָׁט שֶׁל לָמוּת."
"לְהִוָּלֵד","to be born","מָקוֹר עִבְרִי. לֵידָה כְּאֵרוּעַ—רֶגַע מֻפְשָׁט."
"לָמוּת","to die","מָקוֹר עִבְרִי. מָוֶת כְּאֵרוּעַ—רֶגַע מֻפְשָׁט."
"לָגוּר","to live, dwell","עִבְרִית לְמִגּוּרִים; אַלְגוֹנְקְוִינִי דַאוֵי לִהְיוֹת פִיזִית בְּחַיִּים."
"דַאוֵי","to be alive","אַלְגוֹנְקְוִינִי. לִהְיוֹת פִיזִית בְּחַיִּים, לִנְשֹׁם, לִהְיוֹת נוֹכֵחַ בָּעוֹלָם."
"טוֹב / מִינוֹ","good","עִבְרִית טוֹב לְטוּב מוּסָרִי/מֻפְשָׁט; אַלְגוֹנְקְוִינִי מִינוֹ לִבְרִיאוּת פִיזִית, נְעִימוּת."
"רַע / מָאג׳י","bad","עִבְרִית רַע לְרוֹעַ מוּסָרִי/מֻפְשָׁט; אַלְגוֹנְקְוִינִי מָאג׳י לְחֹסֶר-נְעִימוּת פִיזִי, סַכָּנָה."
"גָּדוֹל / מִיצָא","big, great","עִבְרִית גָּדוֹל לְגְדֻלָּה מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי מִיצָא לְגֹדֶל פִיזִי."
"קָטָן / אַגָאסִי","small, little","עִבְרִית קָטָן לְקַטְנוּת מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי אַגָאסִי לְקֹטֶן פִיזִי."
"זָקֵן","old (person)","עִבְרִית. מַעֲמַד זָקֵן—קַטֵגוֹרְיַת כָּבוֹד."
"יָשָׁן / גֵאט","old (thing)","עִבְרִית יָשָׁן לְגִיל מֻפְשָׁט; אַלְגוֹנְקְוִינִי גֵאט לִבְלִיָּה פִיזִית."
"חָדָשׁ / אוֹשְׁקִי","new","עִבְרִית חָדָשׁ לְחִדּוּשׁ מֻפְשָׁט; אַלְגוֹנְקְוִינִי אוֹשְׁקִי לִטְרִיּוּת פִיזִית."
"חַם / גִיזְ׳אַאטֵא","hot","עִבְרִית חַם לְחֹם מֻפְשָׁט; אַלְגוֹנְקְוִינִי גִיזְ׳אַאטֵא לְחֹם פִיזִי שֶׁאַתָּה מַרְגִּישׁ."
"קַר / גִיקַאג׳","cold","עִבְרִית קַר לְקֹר מֻפְשָׁט; אַלְגוֹנְקְוִינִי גִיקַאג׳ לְקֹר פִיזִי שֶׁאַתָּה מַרְגִּישׁ."
"פֹּה / אוֹמָא","here","עִבְרִית פֹּה לְ'בַּנְּקֻדָּה הַזֹּאת' מֻפְשָׁט; אַלְגוֹנְקְוִינִי אוֹמָא לְ'מַמָּשׁ כָּאן עַל הָאֲדָמָה הַזֹּאת.'"
"שָׁם / אִימָא","there","עִבְרִית שָׁם לְ'בַּנְּקֻדָּה הַהִיא' מֻפְשָׁט; אַלְגוֹנְקְוִינִי אִימָא לְ'שָׁם בַּמָּקוֹם הַהוּא.'"
"עַתָּה / נוֹנְגוֹם","now","עִבְרִית עַתָּה לְהֹוֶה מֻפְשָׁט; אַלְגוֹנְקְוִינִי נוֹנְגוֹם לְ'מַמָּשׁ עַכְשָׁיו, הָרֶגַע הַזֶּה.'"
"אָז / מִי־אַפִּי","then","עִבְרִית אָז לְהַפְנָיַת עָבָר מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי מִי אַפִּי לְ'הַזְּמַן הַהוּא, כְּשֶׁזֶּה קָרָה.'"
"תָּמִיד / אַפָּאנֵא","always","עִבְרִית תָּמִיד לְתָמִיד נִצְחִי/לִיטוּרְגִּי; אַלְגוֹנְקְוִינִי אַפָּאנֵא לְ'כָּל פַּעַם' יוֹם-יוֹמִי."
"לְעוֹלָם לֹא / וִיכָא","never","עִבְרִית לְעוֹלָם לֹא לְאַף-פַּעַם מֻחְלָט; אַלְגוֹנְקְוִינִי וִיכָא לְ'לֹא אֵי פַּעַם, אַף לֹא פַּעַם אַחַת.'"
"הַכֹּל / קַאקִינָא","everything","עִבְרִית הַכֹּל לְכֹּל מֻפְשָׁט; אַלְגוֹנְקְוִינִי קַאקִינָא לְ'כָּל הַדְּבָרִים הָאֵלֶּה כָּאן.'"
"כְּלוּם / קָאוִין גֵאגוֹ","nothing","עִבְרִית כְּלוּם לְכְּלוּם מֻפְשָׁט; אַלְגוֹנְקְוִינִי קָאוִין גֵאגוֹ לְ'לֹא דָּבָר.'"
"מִישֶׁהוּ / אַוִויָא","someone","עִבְרִית מִישֶׁהוּ; אַלְגוֹנְקְוִינִי אַוִויָא לְאָדָם לֹא-מְיֻחָד."
"אַף אֶחָד / קָאוִין אַוִויָא","no one","עִבְרִית אַף אֶחָד; אַלְגוֹנְקְוִינִי קָאוִין אַוִויָא לְ'לֹא אַף אֶחָד.'"
"מְאֹד / אַפִּיצִ׳י","very, much","עִבְרִית מְאֹד לְעָצְמָה מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי אַפִּיצִ׳י לְדַרְגָּה פִיזִית."
"קְצָת / פַּאנְגִי","a little","עִבְרִית קְצָת לְכַמּוּת קְטַנָּה מֻפְשֶׁטֶת; אַלְגוֹנְקְוִינִי פַּאנְגִי לְ'קְצָת מִזֶּה.'"
"עִם / מִינַאוָא","together with, and","עִבְרִית עִם לְ'יַחַד עִם'; אַלְגוֹנְקְוִינִי מִינַאוָא לְ'וְגַם, יַחַד עִם.'"
"אֲבָל / מִי דַאשׁ","but, however","עִבְרִית אֲבָל; אַלְגוֹנְקְוִינִי מִי דַאשׁ לְ'אֲבָל אָז, לְעֻמַּת זֹאת.'"
"אִם / קִישְׁפִּין","if","עִבְרִית אִם (זֶהָה לְ'עִם' אֲבָל הֶקְשֵׁר שׁוֹנֶה); אַלְגוֹנְקְוִינִי קִישְׁפִּין לִתְנַאי."
"כִּי / אוֹנְזַאם","because","עִבְרִית כִּי; אַלְגוֹנְקְוִינִי אוֹנְזַאם לְ'בִּגְלַל זֶה.'"
"לָכֵן / מִי סָא","so, therefore","עִבְרִית לָכֵן; אַלְגוֹנְקְוִינִי מִי סָא לְ'אָז, לָכֵן.'"
"כֵּן / אֶהֵא","yes","עִבְרִית כֵּן; אַלְגוֹנְקְוִינִי אֶהֵא לְאִשּׁוּר."
"לֹא / קָאוִין","no","עִבְרִית לֹא; אַלְגוֹנְקְוִינִי קָאוִין לִשְׁלִילָה."
"בְּבַקָּשָׁה / דָאגָא","please","עִבְרִית בְּבַקָּשָׁה; אַלְגוֹנְקְוִינִי דָאגָא לְבַקָּשָׁה מְנֻמֶּסֶת."
"סְלִיחָה","excuse me, sorry","עִבְרִית. הִתְנַצְּלוּת—מֻשָּׂג חֶבְרָתִי מֻפְשָׁט."
"בְּבַקָּשָׁה / מִי אִיוֵוה","you're welcome","עִבְרִית בְּבַקָּשָׁה שׁוּב; אַלְגוֹנְקְוִינִי מִי אִיוֵוה לְ'זֶהוּ, אֵין דָּבָר.'"
"מַזָּל טוֹב","congratulations","עִבְרִית. בְּרָכָה חֲגִיגִית."
"תַּנְחוּמִים","condolences","עִבְרִית. נֶחָמָה בְּאֵבֶל—מֻפְשָׁט."
"סִיבִּי","river","אַלְגוֹנְקְוִינִי. מַיִם זוֹרְמִים, עוֹרֶק-חַיִּים שֶׁל הָאָרֶץ."
"זָאגַאהִיגַן","lake","אַלְגוֹנְקְוִינִי. מַיִם עוֹמְדִים, מָקוֹם הִתְכַּנְּסוּת."
"גִיצִ׳יגַאמִי","ocean, great water","אַלְגוֹנְקְוִינִי. הַמַּיִם הַגְּדוֹלִים—אֲגַם סוּפֵּירְיוֹר נִקְרָא כָּךְ."
"מִינִיס","island","אַלְגוֹנְקְוִינִי. אֲדָמָה מֻקֶּפֶת מַיִם."
"מִיטִיגְוָאקִי","forest, woods","אַלְגוֹנְקְוִינִי. מְקוֹם-עֵצִים, הַיַּעַר הָעָמֹק."
"מִיטִיג","tree","אַלְגוֹנְקְוִינִי. הָעוֹמֵד, עַמּוּד חַי."
"מַאשְׁקוֹסִי","grass","אַלְגוֹנְקְוִינִי. כִּסּוּי-קַרְקַע יָרֹק."
"אֲסוּן","stone","לֶנַאפֶּה. הַזְּקֵנִים, סָבִים. לוֹקֵחַ רִבּוּי חַי—אֲבָנִים חַיּוֹת."
"אַכִּי","earth, land","אַלְגוֹנְקְוִינִי. הָאָרֶץ עַצְמָהּ, הָאֲדָמָה מִתַּחַת, הָאָרֶץ בִּשְׁלֵמוּתָהּ."
"גִיזְ׳יג","sky","אַלְגוֹנְקְוִינִי. הָעוֹלָם שֶׁלְּמַעְלָה, אֵיפֹה מֶזֶג הָאֲוִיר חַי."
"גִיזִיס","sun","אַלְגוֹנְקְוִינִי. אֵשׁ-הַיּוֹם, הָאוֹר הַגָּדוֹל."
"דִיבִּיקִי־גִיזִיס","moon (night sun)","אַלְגוֹנְקְוִינִי. שֶׁמֶשׁ-הַלַּיְלָה, אוֹר עָדִין יוֹתֵר."
"אִישְׁקוֹטֵא","fire","אַלְגוֹנְקְוִינִי. הַלֶּהָבָה הַחַיָּה, מֶרְכָּז הַבַּיִת וְהַטֶּקֶס."
"פּוֹגְוָאטֵא","smoke","אַלְגוֹנְקְוִינִי. נְשִׁימַת הָאֵשׁ, נוֹשֵׂאת תְּפִלּוֹת."
"פִּינְגְוִי","ash","אַלְגוֹנְקְוִינִי. מַה שֶׁנִּשְׁאָר אַחֲרֵי אֵשׁ, לְגִנּוֹת."
"גִיגוֹ","fish","אַלְגוֹנְקְוִינִי. יוֹשֵׁב-מַיִם, נוֹתֵן-אֹכֶל."
"וָאוָאשְׁקֶשִׁי","deer","אַלְגוֹנְקְוִינִי. קָרוֹב אַרְבָּעָה-רַגְלִי, נוֹתֵן אֹכֶל וּבְגָדִים."
"מוֹז","moose","אַלְגוֹנְקְוִינִי. הַגָּדוֹל שֶׁל יַעֲרוֹת הַצָּפוֹן."
"מַאהִינְגַאן","wolf","אַלְגוֹנְקְוִינִי. צַיָּד-לְהָקָה, מוֹרֶה שִׁתּוּף פְּעֻלָּה."
"מִיקִינָאק","turtle","אַלְגוֹנְקְוִינִי. נוֹשֵׂא-שְׁרִיוֹן, מַחֲזִיק-אֶרֶץ בְּסִפּוּרֵי הַבְּרִיאָה."
"אוֹמַאקַאקִי","frog","אַלְגוֹנְקְוִינִי. זַמָּר-בִּצָּה, מֵבִיא-גֶּשֶׁם."
"קִינֶבִּיק","snake","אַלְגוֹנְקְוִינִי. מַחְלִיק-קַרְקַע, יְצוּר-רְפוּאָה."
"זַאגִימֵא","mosquito","אַלְגוֹנְקְוִינִי. הַיִּסּוּר הַקָּטָן שֶׁל הַקַּיִץ."
"אוֹג׳ִי","fly","אַלְגוֹנְקְוִינִי. הַזִּמְזֵם."
"אָאמוֹ","bee","אַלְגוֹנְקְוִינִי. עוֹשֵׂה-דְּבַשׁ, מְבַקֵּר-פֶּרַח."
"וִיאַס","meat","אַלְגוֹנְקְוִינִי. אֹכֶל מֵחַי, בָּשָׂר."
"וָאוַאן","egg","אַלְגוֹנְקְוִינִי. תְּחִלַּת-צִפּוֹר, אֹכֶל בֹּקֶר."
"דוֹדוֹשָׁאבּוֹ","milk","אַלְגוֹנְקְוִינִי. מֵי-שָׁד, נוֹזֵל-הֲנָקָה."
"זִיוִיטָאגַאן","salt","אַלְגוֹנְקְוִינִי. מַגְבִּיר-טַעַם, חֹמֶר-מְשַׁמֵּר."
"זִיזִיבָּאקְוַאד","sugar","אַלְגוֹנְקְוִינִי. חֹמֶר-מָתוֹק, מָקוֹר מֵאֵדֶר."
"נָאבּוֹב","soup, broth","אַלְגוֹנְקְוִינִי. אֹכֶל נוֹזֵל, מָזוֹן."
"מִין","berry, berries","אַלְגוֹנְקְוִינִי. פְּרִי-יַעַר, אֹכֶל נֶאֱסָף."
"בַּאגָאן","nut","אַלְגוֹנְקְוִינִי. פְּרִי-עֵץ עִם קְלִפָּה."
"מִישְׁקוֹדֵאסִימִין","bean","אַלְגוֹנְקְוִינִי. אַחַת מִשְּׁלֹשׁ הָאֲחָיוֹת."
"אוֹקוֹסִימָאן","squash","אַלְגוֹנְקְוִינִי. אַחַת מִשְּׁלֹשׁ הָאֲחָיוֹת."
"אוֹפִּין","potato","אַלְגוֹנְקְוִינִי. יֶרֶק-שֹׁרֶשׁ."
"זְ׳יגָאגַאוַאנְזְ׳","onion","אַלְגוֹנְקְוִינִי. שֹׁרֶשׁ עָז-טַעַם."
"זְ׳יגָאגַאוַאנְזְ׳מַאגוֹזִי","garlic","צֵרוּף אַלְגוֹנְקְוִינִי: בָּצָל-עָז-רֵיחַ."
"ג׳יבָּאקְוֵי","to cook","אַלְגוֹנְקְוִינִי. הֲכָנַת אֹכֶל עַל אֵשׁ."
"אוֹנְזָאבִּיקִיזִיגֵא","to boil","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת שֶׁהַמַּיִם יָזוּזוּ עִם חֹם."
"זָאסַאקוֹקְוֵי","to fry","אַלְגוֹנְקְוִינִי. לְבַשֵּׁל בְּשֻׁמָּן."
"פָּאנֵא","to bake","אַלְגוֹנְקְוִינִי. בִּשּׁוּל-תַּנּוּר, אֲפִיַּת-לֶחֶם."
"קִישְׁקִיזְ׳ַאן","to cut","אַלְגוֹנְקְוִינִי. לְחַלֵּק עִם לַהַב."
"זְ׳יגְוֶבִּינָאן","to stir","אַלְגוֹנְקְוִינִי. לְהָזִיז נוֹזֵל סָבִיב."
"אָאבַּאג׳יטוֹן","to mix","אַלְגוֹנְקְוִינִי. לְשַׁלֵּב מַרְכִּיבִים."
"בַּאקַאדֵא","hungry","אַלְגוֹנְקְוִינִי. גּוּף-צָרִיךְ-אֹכֶל."
"גִישְׁקַאבָּאגְוֵא","thirsty","אַלְגוֹנְקְוִינִי. גּוּף-צָרִיךְ-מַיִם."
"דֵאבִּיסִינִי","full (from eating)","אַלְגוֹנְקְוִינִי. גּוּף-מְסֻפָּק-מֵאֹכֶל."
"אַאיֶאקוֹזִי","tired","אַלְגוֹנְקְוִינִי. גּוּף-צָרִיךְ-מְנוּחָה."
"מַאשְׁקַאוִיזִי","strong","אַלְגוֹנְקְוִינִי. גּוּף-עִם-כֹּחַ."
"זְ׳אָאגוֹזִי","weak","אַלְגוֹנְקְוִינִי. גּוּף-בְּלִי-כֹּחַ."
